FILENAME,CAUSE,r1,r2,r3,r4,r5,r6,r7
20150912_11-27-52_AX017_GT0_L019_C3841_215D5_CD4FMO_1M_650_EDv38_nofft.events.csv,,12107,9288,10323,8174,0,2925,3841
20150912_11-47-06_AX017_GT0_L019_C3847_215D5_CD4FMO_1M_650_EDv38_nofft.events.csv,,13607,10525,11736,9372,0,3382,3847
20150912_12-02-15_AX017_GT0_L019_C3828_215D5_CD4FMO_1M_650_EDv38_nofft.events.csv,,6844,5498,5899,4883,0,1805,3828
20160829_11-59-03_AX017_QC1_L001_C282_144620_D7_TCL032_650_EDv38_nofft.events.csv,,41531,34668,31,24,0,21,282
20160831_14-07-53_AX017_GT0_L019_C3895_144620_D9_CD3F_650_EDv38_nofft.events.csv,,22796,22712,0,0,0,0,3895
20160831_14-25-32_AX017_GT0_L019_C3909_144620_D9_CD8PETR_650_EDv38_nofft.events.csv,,431,398,0,0,0,0,3909
20160831_14-40-07_AX017_GT0_L019_C3939_144620_D9_CD8PECY5_650_EDv38_nofft.events.csv,,438,416,0,0,0,0,3939
20160831_14-55-58_AX017_GT0_L019_C3926_144620_D9_CD45PE_650_EDv38_nofft.events.csv,,1883,1872,12,12,0,0,3926
20160831_15-15-20_AX017_GT0_L019_C3894_144620_D9_DRAQ_650_EDv38_nofft.events.csv,,321,28,0,0,0,0,3894
20161114_14-50-02_AX017_GT0_L016_C3334_40800F_Lot_20161027_650_EDv38_nofft.events.csv,,0,0,0,0,0,0,3334
20170119_03-02-53_AX017_GT0_L016_C3442_22172_cd3f_45pe_draq_550_EDv38TCLv16_nofft.events.csv,,229,223,0,0,0,0,3442
20170119_03-02-53_AX017_GT0_L016_C3442_22172_cd3f_45pe_draq_550_EDv38TCLv16_nofft.events.csv,"""=""",0,0,0,0,0,0,
20170119_03-04-36_AX017_GT0_L016_C3442_22172_cd3f_45pe_draq_600_EDv38TCLv16_nofft.events.csv,,3265,2856,171,169,169,0,
20170119_03-04-36_AX017_GT0_L016_C3442_22172_cd3f_45pe_draq_600_EDv38TCLv16_nofft.events.csv,"""=""",67,67,65,65,63,0,
20170119_03-06-17_AX017_GT0_L016_C3442_22172_cd3f_45pe_draq_650_EDv38TCLv16_nofft.events.csv,,4656,3580,2191,2077,1984,0,
20170119_03-06-17_AX017_GT0_L016_C3442_22172_cd3f_45pe_draq_650_EDv38TCLv16_nofft.events.csv,"""=""",3546,3110,20,20,0,0,
20170119_03-07-59_AX017_GT0_L016_C3442_22172_cd3f_45pe_draq_700_EDv38TCLv16_nofft.events.csv,,3195,2658,3098,2611,1528,0,
20170119_03-07-59_AX017_GT0_L016_C3442_22172_cd3f_45pe_draq_700_EDv38TCLv16_nofft.events.csv,"""=""",3940,2943,267,259,0,0,
20170119_03-09-41_AX017_GT0_L016_C3442_22172_cd3f_45pe_draq_750_EDv38TCLv16_nofft.events.csv,,1989,1593,1986,1591,135,0,
20170119_03-09-41_AX017_GT0_L016_C3442_22172_cd3f_45pe_draq_750_EDv38TCLv16_nofft.events.csv,"""=""",2312,1704,37,33,0,0,
20170130_09-48-36_AX017_GT0_L016_C3281_28429_D4_650_SP_EDv38TCLv16_nofft.events.csv,,788,375,248,99,56,32,
20170130_09-48-36_AX017_GT0_L016_C3281_28429_D4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",260,139,136,71,44,19,
20170514_13-37-28_AX017_TCL_L003_C442_11747__100_SP_EDv38_nofft.events.csv,,0,0,0,0,0,0,
20170514_14-14-02_AX017_TCL_L003_C442_11747__100_SP_EDv38_nofft.events.csv,,0,0,0,0,0,0,
20150918_11-51-01_AX017_TCL_L002_C127_158D12_Thawed_650_EDv38_nofft.events.csv,no possible to analyse-fail,29497,29122,18334,18079,5568,12138,
20150918_13-12-10_AX017_TCL_L002_C129_944D0_Thawed_650_EDv38_nofft.events.csv,hard to separate in ch1,64986,54408,37187,29540,15580,12834,
20150918_14-02-34_AX017_TCL_L002_C131_932D0_Thawed_650_EDv38_nofft.events.csv,hard to separate in ch1,24148,15052,16518,8611,4728,3218,
20160905_10-06-17_AX017_TCL_L002_C125_170_D3_650_EDv38_nofft.events.csv,hard to separate cd45,19872,19200,16238,15939,6180,9199,
20160905_10-41-17_AX017_TCL_L002_C123_170_D3_650_EDv38_nofft.events.csv,hard to separate cd45,14778,14253,12125,11889,4676,6791,
20160905_11-18-54_AX017_TCL_L002_C121_170_D3_650_EDv38_nofft.events.csv,hard to separate cd45,16319,15802,13447,13204,4907,7777,
20160905_12-11-16_AX017_TCL_L002_C119_158_D3_650_EDv38_nofft.events.csv,hard to separate cd45,17972,17221,13801,13576,8065,4532,
20160905_12-45-52_AX017_TCL_L002_C117_158_D3_650_EDv38_nofft.events.csv,hard to separate cd45,21044,19478,15492,14871,9005,4855,
20160905_13-23-54_AX017_TCL_L002_C115_158_D3_650_EDv38_nofft.events.csv,hard to separate cd45,22935,21254,16738,16054,9753,5175,
20161103_11-11-16_AX017_TCL_L002_C205_ag_650_EDv38_nofft.events.csv,hard to separate,14050,11070,13229,10458,7026,2909,
20161103_11-49-58_AX017_TCL_L002_C207_ag_650_EDv38_nofft.events.csv,hard to separate,14455,11337,13671,10748,7136,3122,
20170118_22-19-23_AX017_GT0_L016_C3343_21796_d9_650_EDv38TCLv16_nofft.events.csv,hard to separate in both,13568,12417,12932,11966,7679,3805,
20170118_22-19-23_AX017_GT0_L016_C3343_21796_d9_650_EDv38TCLv16_nofft.events.csv,"""=""",16992,13868,14653,12628,8111,3885,
20170118_22-48-29_AX017_GT0_L016_C3318_21792_d9_650_EDv38TCLv16_nofft.events.csv,hard to separate in both,10203,9139,9790,8879,5925,2810,
20170118_22-48-29_AX017_GT0_L016_C3318_21792_d9_650_EDv38TCLv16_nofft.events.csv,"""=""",12382,9751,10978,9015,6003,2836,
20170118_23-09-16_AX017_GT0_L016_C3322_22245_d6_650_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,11919,10617,11016,9942,6404,3110,
20170118_23-09-16_AX017_GT0_L016_C3322_22245_d6_650_EDv38TCLv16_nofft.events.csv,"""=""",14416,11326,12822,10326,6678,3065,
20170118_23-28-54_AX017_GT0_L016_C3377_23124_d6_650_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,19339,14570,16041,12702,5628,6478,
20170118_23-28-54_AX017_GT0_L016_C3377_23124_d6_650_EDv38TCLv16_nofft.events.csv,"""=""",20467,15109,16429,12829,5701,6471,
20170118_23-49-06_AX017_GT0_L016_C3372_22173_d6_650_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,15325,13648,14369,12993,9476,3282,
20170118_23-49-06_AX017_GT0_L016_C3372_22173_d6_650_EDv38TCLv16_nofft.events.csv,"""=""",15771,13859,14652,13074,9535,3246,
20170119_00-08-33_AX017_GT0_L016_C3399_22156_d6_650_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,13536,12237,12913,11760,3673,7604,
20170119_00-08-33_AX017_GT0_L016_C3399_22156_d6_650_EDv38TCLv16_nofft.events.csv,"""=""",16507,13565,14940,12534,3899,7921,
20170119_00-49-06_AX017_GT0_L016_C3402_22174_d6_650_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,18703,17126,17465,16168,11595,4138,
20170119_00-49-06_AX017_GT0_L016_C3402_22174_d6_650_EDv38TCLv16_nofft.events.csv,"""=""",22238,18692,19300,16855,12033,4205,
20170119_01-09-04_AX017_GT0_L016_C3338_20114_d7_650_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,8442,6935,7783,6520,4003,2051,
20170119_01-09-04_AX017_GT0_L016_C3338_20114_d7_650_EDv38TCLv16_nofft.events.csv,"""=""",12920,9324,11314,8323,4609,2811,
20170119_01-29-19_AX017_GT0_L016_C3323_20152_d7_650_EDv38TCLv16_nofft.events.csv,hard to separate in both,12159,9195,10942,8505,4219,3834,
20170119_01-29-19_AX017_GT0_L016_C3323_20152_d7_650_EDv38TCLv16_nofft.events.csv,"""=""",12935,9553,11922,8953,4348,3855,
20170119_01-46-05_AX017_GT0_L016_C3330_20124_d7_650_EDv38TCLv16_nofft.events.csv,hard to separate in both,19127,15979,17814,15082,6374,7962,
20170119_01-46-05_AX017_GT0_L016_C3330_20124_d7_650_EDv38TCLv16_nofft.events.csv,"""=""",19919,16253,18693,15458,6467,7626,
20170119_02-05-36_AX017_GT0_L016_C3437_20103_d7_650_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,14137,11668,13244,11114,7333,3239,
20170119_02-05-36_AX017_GT0_L016_C3437_20103_d7_650_EDv38TCLv16_nofft.events.csv,"""=""",14645,11955,13817,11433,7458,3223,
20170119_02-21-21_AX017_GT0_L016_C3446_20210_d7_650_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,10532,8789,9959,8400,5545,2510,
20170119_02-21-21_AX017_GT0_L016_C3446_20210_d7_650_EDv38TCLv16_nofft.events.csv,"""=""",10871,8908,10359,8562,5587,2427,
20170124_09-22-14_AX017_GT0_L016_C3295_28249_d4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in both,11058,9492,9032,8062,3851,3564,
20170124_09-22-14_AX017_GT0_L016_C3295_28249_d4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",10323,9239,8649,7844,3709,3405,
20170124_10-03-50_AX017_GT0_L016_C3290_28723_d4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in both,12344,10789,11055,10022,5901,3714,
20170124_10-03-50_AX017_GT0_L016_C3290_28723_d4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",11711,10592,10389,9692,5690,3550,
20170124_10-30-25_AX017_GT0_L016_C3293_23261_d4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in both,11225,9873,9577,8768,4909,3482,
20170124_10-30-25_AX017_GT0_L016_C3293_23261_d4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",10725,9789,8974,8415,4760,3244,
20170124_10-53-05_AX017_GT0_L016_C3299_6635_d4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in both,6664,5778,5966,5348,3902,1323,
20170124_10-53-05_AX017_GT0_L016_C3299_6635_d4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",6112,5524,5286,4970,3659,1159,
20170124_11-28-39_AX017_GT0_L016_C3300_6634_d4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in both,7409,6610,6787,6188,2902,3001,
20170130_09-01-46_AX017_GT0_L016_C3280_28004_D4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,26729,23489,22547,20953,12257,7548,
20170130_09-01-46_AX017_GT0_L016_C3280_28004_D4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",26082,23520,22459,20972,12205,7584,
20170130_09-18-12_AX017_GT0_L016_C3279_28427_D4_650_SP_EDv38TCLv16_nofft.events.csv,strange-fail,57036,37827,27613,22623,16343,4900,
20170130_09-18-12_AX017_GT0_L016_C3279_28427_D4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",58812,41958,29485,22963,13581,5177,
20170130_09-34-10_AX017_GT0_L016_C3271_29641_D4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in both,20873,17124,15975,14217,8557,4343,
20170130_09-34-10_AX017_GT0_L016_C3271_29641_D4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",22076,18440,16400,14490,8062,4441,
20170130_10-08-08_AX017_GT0_L016_C3288_29956_D4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,66955,42121,46015,29503,21721,6570,
20170130_10-08-08_AX017_GT0_L016_C3288_29956_D4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",63902,42542,44980,29186,21371,6442,
20170130_10-22-58_AX017_GT0_L016_C3284_21407_D4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,34629,28387,23762,20935,12749,6383,
20170130_10-22-58_AX017_GT0_L016_C3284_21407_D4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",35325,29437,23730,20788,12426,6423,
20170130_10-37-26_AX017_GT0_L016_C3269_29646_D4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in both,38899,29725,23923,20328,7200,10854,
20170130_10-37-26_AX017_GT0_L016_C3269_29646_D4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",65174,47360,29345,22298,8373,11700,
20160907_10-16-34_AX017_TCL_L002_C177__650_EDv38_nofft.events.csv,strange-fail,24479,23814,9062,9040,4819,3339,
20151031_12-22-40_AX017_TCL_L002_C146_lb_650_EDv38_nofft.events.csv,strange-fail,3984,3320,2559,2175,1648,413,
